Order,Fastq filename,Our sample name,sample,Cross,Treatment,Zoox,Tank,Treatment,58daysHeatSurv
266,145_S111_L004_R1_001.fastq.gz,145,145,DRxSB,C1T3A,C1,T3,Ambient,NA
267,145_S111_L005_R1_001.fastq.gz,145,145,DRxSB,C1T3A,C1,T3,Ambient,NA
268,146_S112_L003_R1_001.fastq.gz,146,146,CUxDR,D1T3A,D1,T3,Ambient,100
269,146_S112_L004_R1_001.fastq.gz,146,146,CUxDR,D1T3A,D1,T3,Ambient,100
270,146_S112_L005_R1_001.fastq.gz,146,146,CUxDR,D1T3A,D1,T3,Ambient,100
271,147_S113_L003_R1_001.fastq.gz,147,147,LSxCU,D1T3A,D1,T3,Ambient,100
272,147_S113_L004_R1_001.fastq.gz,147,147,LSxCU,D1T3A,D1,T3,Ambient,100
273,147_S113_L005_R1_001.fastq.gz,147,147,LSxCU,D1T3A,D1,T3,Ambient,100
274,148_S114_L003_R1_001.fastq.gz,148,148,DRxSB,D1T3A,D1,T3,Ambient,100
275,148_S114_L004_R1_001.fastq.gz,148,148,DRxSB,D1T3A,D1,T3,Ambient,100
276,148_S114_L005_R1_001.fastq.gz,148,148,DRxSB,D1T3A,D1,T3,Ambient,100
277,149_S115_L003_R1_001.fastq.gz,149,149,DRxCU,D1T3A,D1,T3,Ambient,100
278,149_S115_L004_R1_001.fastq.gz,149,149,DRxCU,D1T3A,D1,T3,Ambient,100
279,149_S115_L005_R1_001.fastq.gz,149,149,DRxCU,D1T3A,D1,T3,Ambient,100
295,164_S293_L006_R1_001.fastq.gz,164,164,LSxCU,SEDT1H,SED,T1,Hot,75
296,164_S293_L007_R1_001.fastq.gz,164,164,LSxCU,SEDT1H,SED,T1,Hot,75
297,164_S293_L008_R1_001.fastq.gz,164,164,LSxCU,SEDT1H,SED,T1,Hot,75
328,177_S124_L003_R1_001.fastq.gz,177,177,CUxDR,D1T1A,D1,T1,Ambient,100
329,177_S124_L004_R1_001.fastq.gz,177,177,CUxDR,D1T1A,D1,T1,Ambient,100
330,177_S124_L005_R1_001.fastq.gz,177,177,CUxDR,D1T1A,D1,T1,Ambient,100
337,180_S127_L003_R1_001.fastq.gz,180,180,DRxSB,D1T1A,D1,T1,Ambient,NA
338,180_S127_L004_R1_001.fastq.gz,180,180,DRxSB,D1T1A,D1,T1,Ambient,NA
339,180_S127_L005_R1_001.fastq.gz,180,180,DRxSB,D1T1A,D1,T1,Ambient,NA
298,166_S294_L006_R1_001.fastq.gz,166,166,LSxCU,SEDT3H,SED,T3,Hot,100
299,166_S294_L007_R1_001.fastq.gz,166,166,LSxCU,SEDT3H,SED,T3,Hot,100
300,166_S294_L008_R1_001.fastq.gz,166,166,LSxCU,SEDT3H,SED,T3,Hot,100
301,168_S295_L006_R1_001.fastq.gz,168,168,DRxSB,SEDT3H,SED,T3,Hot,100
302,168_S295_L007_R1_001.fastq.gz,168,168,DRxSB,SEDT3H,SED,T3,Hot,100
303,168_S295_L008_R1_001.fastq.gz,168,168,DRxSB,SEDT3H,SED,T3,Hot,100
412,224_S296_L006_R1_001.fastq.gz,224,224,CUxSB,SEDT1H,SED,T1,Hot,100
413,224_S296_L007_R1_001.fastq.gz,224,224,CUxSB,SEDT1H,SED,T1,Hot,100
414,224_S296_L008_R1_001.fastq.gz,224,224,CUxSB,SEDT1H,SED,T1,Hot,100
415,225_S297_L006_R1_001.fastq.gz,225,225,CUxSB,SEDT3H,SED,T3,Hot,87.5
416,225_S297_L007_R1_001.fastq.gz,225,225,CUxSB,SEDT3H,SED,T3,Hot,87.5
417,225_S297_L008_R1_001.fastq.gz,225,225,CUxSB,SEDT3H,SED,T3,Hot,87.5
37,30_S159_L003_R1_001.fastq.gz,30,30,SBxSB,SST1H,SS,T1,Hot,87.5
38,30_S159_L004_R1_001.fastq.gz,30,30,SBxSB,SST1H,SS,T1,Hot,87.5
39,30_S159_L005_R1_001.fastq.gz,30,30,SBxSB,SST1H,SS,T1,Hot,87.5
304,169_S116_L003_R1_001.fastq.gz,169,169,LSxCU,SST1A,SS,T1,Ambient,100
305,169_S116_L004_R1_001.fastq.gz,169,169,LSxCU,SST1A,SS,T1,Ambient,100
306,169_S116_L005_R1_001.fastq.gz,169,169,LSxCU,SST1A,SS,T1,Ambient,100
307,170_S117_L003_R1_001.fastq.gz,170,170,DRxCU,SST1A,SS,T1,Ambient,100
308,170_S117_L004_R1_001.fastq.gz,170,170,DRxCU,SST1A,SS,T1,Ambient,100
309,170_S117_L005_R1_001.fastq.gz,170,170,DRxCU,SST1A,SS,T1,Ambient,100
310,171_S118_L003_R1_001.fastq.gz,171,171,DRxSB,SST1A,SS,T1,Ambient,100
311,171_S118_L004_R1_001.fastq.gz,171,171,DRxSB,SST1A,SS,T1,Ambient,100
312,171_S118_L005_R1_001.fastq.gz,171,171,DRxSB,SST1A,SS,T1,Ambient,100
313,172_S119_L003_R1_001.fastq.gz,172,172,CUxDR,SST1A,SS,T1,Ambient,100
314,172_S119_L004_R1_001.fastq.gz,172,172,CUxDR,SST1A,SS,T1,Ambient,100
315,172_S119_L005_R1_001.fastq.gz,172,172,CUxDR,SST1A,SS,T1,Ambient,100
316,173_S120_L003_R1_001.fastq.gz,173,173,DRxCU,SST2A,SS,T2,Ambient,66.666
317,173_S120_L004_R1_001.fastq.gz,173,173,DRxCU,SST2A,SS,T2,Ambient,66.666
318,173_S120_L005_R1_001.fastq.gz,173,173,DRxCU,SST2A,SS,T2,Ambient,66.666
319,174_S121_L003_R1_001.fastq.gz,174,174,DRxSB,SST2A,SS,T2,Ambient,100
320,174_S121_L004_R1_001.fastq.gz,174,174,DRxSB,SST2A,SS,T2,Ambient,100
321,174_S121_L005_R1_001.fastq.gz,174,174,DRxSB,SST2A,SS,T2,Ambient,100
322,175_S122_L003_R1_001.fastq.gz,175,175,LSxCU,SST2A,SS,T2,Ambient,92.307
323,175_S122_L004_R1_001.fastq.gz,175,175,LSxCU,SST2A,SS,T2,Ambient,92.307
324,175_S122_L005_R1_001.fastq.gz,175,175,LSxCU,SST2A,SS,T2,Ambient,92.307
325,176_S123_L003_R1_001.fastq.gz,176,176,CUxDR,SST2A,SS,T2,Ambient,100
326,176_S123_L004_R1_001.fastq.gz,176,176,CUxDR,SST2A,SS,T2,Ambient,100
327,176_S123_L005_R1_001.fastq.gz,176,176,CUxDR,SST2A,SS,T2,Ambient,100
352,197_S132_L003_R1_001.fastq.gz,197,197,CUxDR,D1T2A,D1,T2,Ambient,100
353,197_S132_L004_R1_001.fastq.gz,197,197,CUxDR,D1T2A,D1,T2,Ambient,100
354,197_S132_L005_R1_001.fastq.gz,197,197,CUxDR,D1T2A,D1,T2,Ambient,100
331,178_S125_L003_R1_001.fastq.gz,178,178,LSxCU,D1T1A,D1,T1,Ambient,66.6
332,178_S125_L004_R1_001.fastq.gz,178,178,LSxCU,D1T1A,D1,T1,Ambient,66.6
333,178_S125_L005_R1_001.fastq.gz,178,178,LSxCU,D1T1A,D1,T1,Ambient,66.6
334,179_S126_L003_R1_001.fastq.gz,179,179,DRxCU,D1T1A,D1,T1,Ambient,100
335,179_S126_L004_R1_001.fastq.gz,179,179,DRxCU,D1T1A,D1,T1,Ambient,100
336,179_S126_L005_R1_001.fastq.gz,179,179,DRxCU,D1T1A,D1,T1,Ambient,100
358,199_S134_L003_R1_001.fastq.gz,199,199,DRxSB,D1T2A,D1,T2,Ambient,100
359,199_S134_L004_R1_001.fastq.gz,199,199,DRxSB,D1T2A,D1,T2,Ambient,100
360,199_S134_L005_R1_001.fastq.gz,199,199,DRxSB,D1T2A,D1,T2,Ambient,100
340,193_S128_L003_R1_001.fastq.gz,193,193,DRxCU,SST3A,SS,T3,Ambient,33.333
341,193_S128_L004_R1_001.fastq.gz,193,193,DRxCU,SST3A,SS,T3,Ambient,33.333
342,193_S128_L005_R1_001.fastq.gz,193,193,DRxCU,SST3A,SS,T3,Ambient,33.333
343,194_S129_L003_R1_001.fastq.gz,194,194,CUxDR,SST3A,SS,T3,Ambient,100
344,194_S129_L004_R1_001.fastq.gz,194,194,CUxDR,SST3A,SS,T3,Ambient,100
345,194_S129_L005_R1_001.fastq.gz,194,194,CUxDR,SST3A,SS,T3,Ambient,100
346,195_S130_L003_R1_001.fastq.gz,195,195,LSxCU,SST3A,SS,T3,Ambient,100
347,195_S130_L004_R1_001.fastq.gz,195,195,LSxCU,SST3A,SS,T3,Ambient,100
348,195_S130_L005_R1_001.fastq.gz,195,195,LSxCU,SST3A,SS,T3,Ambient,100
349,196_S131_L003_R1_001.fastq.gz,196,196,DRxSB,SST3A,SS,T3,Ambient,100
350,196_S131_L004_R1_001.fastq.gz,196,196,DRxSB,SST3A,SS,T3,Ambient,100
351,196_S131_L005_R1_001.fastq.gz,196,196,DRxSB,SST3A,SS,T3,Ambient,100
85,57_S273_L006_R1_001.fastq.gz,57,57,BKxBK,SST2H,SS,T2,Hot,66.66667
86,57_S273_L007_R1_001.fastq.gz,57,57,BKxBK,SST2H,SS,T2,Hot,66.66667
87,57_S273_L008_R1_001.fastq.gz,57,57,BKxBK,SST2H,SS,T2,Hot,66.66667
355,198_S133_L003_R1_001.fastq.gz,198,198,DRxCU,D1T2A,D1,T2,Ambient,50
356,198_S133_L004_R1_001.fastq.gz,198,198,DRxCU,D1T2A,D1,T2,Ambient,50
357,198_S133_L005_R1_001.fastq.gz,198,198,DRxCU,D1T2A,D1,T2,Ambient,50
154,93_S281_L006_R1_001.fastq.gz,93,93,BKxBK,SST3H,SS,T3,Hot,100
155,93_S281_L007_R1_001.fastq.gz,93,93,BKxBK,SST3H,SS,T3,Hot,100
156,93_S281_L008_R1_001.fastq.gz,93,93,BKxBK,SST3H,SS,T3,Hot,100
361,200_S135_L003_R1_001.fastq.gz,200,200,LSxCU,D1T2A,D1,T2,Ambient,100
362,200_S135_L004_R1_001.fastq.gz,200,200,LSxCU,D1T2A,D1,T2,Ambient,100
363,200_S135_L005_R1_001.fastq.gz,200,200,LSxCU,D1T2A,D1,T2,Ambient,100
364,201_S136_L003_R1_001.fastq.gz,201,201,CUxDR,SEDT2A,SED,T2,Ambient,100
365,201_S136_L004_R1_001.fastq.gz,201,201,CUxDR,SEDT2A,SED,T2,Ambient,100
366,201_S136_L005_R1_001.fastq.gz,201,201,CUxDR,SEDT2A,SED,T2,Ambient,100
367,202_S137_L003_R1_001.fastq.gz,202,202,LSxCU,SEDT2A,SED,T2,Ambient,87.5
368,202_S137_L004_R1_001.fastq.gz,202,202,LSxCU,SEDT2A,SED,T2,Ambient,87.5
369,202_S137_L005_R1_001.fastq.gz,202,202,LSxCU,SEDT2A,SED,T2,Ambient,87.5
370,203_S138_L003_R1_001.fastq.gz,203,203,DRxCU,SEDT2A,SED,T2,Ambient,NA
371,203_S138_L004_R1_001.fastq.gz,203,203,DRxCU,SEDT2A,SED,T2,Ambient,NA
372,203_S138_L005_R1_001.fastq.gz,203,203,DRxCU,SEDT2A,SED,T2,Ambient,NA
373,204_S139_L003_R1_001.fastq.gz,204,204,DRxSB,SEDT2A,SED,T2,Ambient,75
374,204_S139_L004_R1_001.fastq.gz,204,204,DRxSB,SEDT2A,SED,T2,Ambient,75
375,204_S139_L005_R1_001.fastq.gz,204,204,DRxSB,SEDT2A,SED,T2,Ambient,75
376,205_S140_L003_R1_001.fastq.gz,205,205,DRxSB,SEDT1A,SED,T1,Ambient,87.5
377,205_S140_L004_R1_001.fastq.gz,205,205,DRxSB,SEDT1A,SED,T1,Ambient,87.5
378,205_S140_L005_R1_001.fastq.gz,205,205,DRxSB,SEDT1A,SED,T1,Ambient,87.5
379,206_S141_L003_R1_001.fastq.gz,206,206,LSxCU,SEDT1A,SED,T1,Ambient,93.333
380,206_S141_L004_R1_001.fastq.gz,206,206,LSxCU,SEDT1A,SED,T1,Ambient,93.333
381,206_S141_L005_R1_001.fastq.gz,206,206,LSxCU,SEDT1A,SED,T1,Ambient,93.333
382,207_S142_L003_R1_001.fastq.gz,207,207,DRxCU,SEDT1A,SED,T1,Ambient,100
383,207_S142_L004_R1_001.fastq.gz,207,207,DRxCU,SEDT1A,SED,T1,Ambient,100
384,207_S142_L005_R1_001.fastq.gz,207,207,DRxCU,SEDT1A,SED,T1,Ambient,100
385,208_S143_L003_R1_001.fastq.gz,208,208,CUxDR,SEDT1A,SED,T1,Ambient,100
386,208_S143_L004_R1_001.fastq.gz,208,208,CUxDR,SEDT1A,SED,T1,Ambient,100
387,208_S143_L005_R1_001.fastq.gz,208,208,CUxDR,SEDT1A,SED,T1,Ambient,100
388,209_S144_L003_R1_001.fastq.gz,209,209,DRxCU,SEDT3A,SED,T3,Ambient,100
389,209_S144_L004_R1_001.fastq.gz,209,209,DRxCU,SEDT3A,SED,T3,Ambient,100
390,209_S144_L005_R1_001.fastq.gz,209,209,DRxCU,SEDT3A,SED,T3,Ambient,100
391,210_S145_L003_R1_001.fastq.gz,210,210,CUxDR,SEDT3A,SED,T3,Ambient,100
392,210_S145_L004_R1_001.fastq.gz,210,210,CUxDR,SEDT3A,SED,T3,Ambient,100
393,210_S145_L005_R1_001.fastq.gz,210,210,CUxDR,SEDT3A,SED,T3,Ambient,100
394,211_S146_L003_R1_001.fastq.gz,211,211,DRxSB,SEDT3A,SED,T3,Ambient,100
395,211_S146_L004_R1_001.fastq.gz,211,211,DRxSB,SEDT3A,SED,T3,Ambient,100
396,211_S146_L005_R1_001.fastq.gz,211,211,DRxSB,SEDT3A,SED,T3,Ambient,100
397,212_S147_L003_R1_001.fastq.gz,212,212,LSxCU,SEDT3A,SED,T3,Ambient,100
398,212_S147_L004_R1_001.fastq.gz,212,212,LSxCU,SEDT3A,SED,T3,Ambient,100
399,212_S147_L005_R1_001.fastq.gz,212,212,LSxCU,SEDT3A,SED,T3,Ambient,100
400,217_S148_L003_R1_001.fastq.gz,217,217,CUxSB,C1T1A,C1,T1,Ambient,100
401,217_S148_L004_R1_001.fastq.gz,217,217,CUxSB,C1T1A,C1,T1,Ambient,100
402,217_S148_L005_R1_001.fastq.gz,217,217,CUxSB,C1T1A,C1,T1,Ambient,100
403,218_S149_L003_R1_001.fastq.gz,218,218,CUxSB,C1T2A,C1,T2,Ambient,85.71
404,218_S149_L004_R1_001.fastq.gz,218,218,CUxSB,C1T2A,C1,T2,Ambient,85.71
405,218_S149_L005_R1_001.fastq.gz,218,218,CUxSB,C1T2A,C1,T2,Ambient,85.71
406,219_S150_L003_R1_001.fastq.gz,219,219,CUxSB,C1T3A,C1,T3,Ambient,100
407,219_S150_L004_R1_001.fastq.gz,219,219,CUxSB,C1T3A,C1,T3,Ambient,100
408,219_S150_L005_R1_001.fastq.gz,219,219,CUxSB,C1T3A,C1,T3,Ambient,100
409,220_S151_L003_R1_001.fastq.gz,220,220,CUxSB,D1T3A,D1,T3,Ambient,100
410,220_S151_L004_R1_001.fastq.gz,220,220,CUxSB,D1T3A,D1,T3,Ambient,100
411,220_S151_L005_R1_001.fastq.gz,220,220,CUxSB,D1T3A,D1,T3,Ambient,100
157,94_S282_L006_R1_001.fastq.gz,94,94,SBxSB,SST3H,SS,T3,Hot,68.96552
158,94_S282_L007_R1_001.fastq.gz,94,94,SBxSB,SST3H,SS,T3,Hot,68.96552
159,94_S282_L008_R1_001.fastq.gz,94,94,SBxSB,SST3H,SS,T3,Hot,68.96552
280,157_S288_L006_R1_001.fastq.gz,157,157,DRxSB,SST2H,SS,T2,Hot,100
281,157_S288_L007_R1_001.fastq.gz,157,157,DRxSB,SST2H,SS,T2,Hot,100
282,157_S288_L008_R1_001.fastq.gz,157,157,DRxSB,SST2H,SS,T2,Hot,100
418,226_S152_L003_R1_001.fastq.gz,226,226,CUxSB,SST1A,SS,T1,Ambient,40
419,226_S152_L004_R1_001.fastq.gz,226,226,CUxSB,SST1A,SS,T1,Ambient,40
420,226_S152_L005_R1_001.fastq.gz,226,226,CUxSB,SST1A,SS,T1,Ambient,40
421,227_S153_L003_R1_001.fastq.gz,227,227,CUxSB,SST2A,SS,T2,Ambient,100
422,227_S153_L004_R1_001.fastq.gz,227,227,CUxSB,SST2A,SS,T2,Ambient,100
423,227_S153_L005_R1_001.fastq.gz,227,227,CUxSB,SST2A,SS,T2,Ambient,100
424,228_S154_L003_R1_001.fastq.gz,228,228,CUxSB,D1T1A,D1,T1,Ambient,100
425,228_S154_L004_R1_001.fastq.gz,228,228,CUxSB,D1T1A,D1,T1,Ambient,100
426,228_S154_L005_R1_001.fastq.gz,228,228,CUxSB,D1T1A,D1,T1,Ambient,100
427,232_S155_L003_R1_001.fastq.gz,232,232,CUxSB,SST3A,SS,T3,Ambient,60
428,232_S155_L004_R1_001.fastq.gz,232,232,CUxSB,SST3A,SS,T3,Ambient,60
429,232_S155_L005_R1_001.fastq.gz,232,232,CUxSB,SST3A,SS,T3,Ambient,60
430,233_S156_L003_R1_001.fastq.gz,233,233,CUxSB,D1T2A,D1,T2,Ambient,87.5
431,233_S156_L004_R1_001.fastq.gz,233,233,CUxSB,D1T2A,D1,T2,Ambient,87.5
432,233_S156_L005_R1_001.fastq.gz,233,233,CUxSB,D1T2A,D1,T2,Ambient,87.5
433,234_S157_L003_R1_001.fastq.gz,234,234,CUxSB,SEDT2A,SED,T2,Ambient,0
434,234_S157_L004_R1_001.fastq.gz,234,234,CUxSB,SEDT2A,SED,T2,Ambient,0
435,234_S157_L005_R1_001.fastq.gz,234,234,CUxSB,SEDT2A,SED,T2,Ambient,0
436,235_S158_L003_R1_001.fastq.gz,235,235,CUxSB,SEDT1A,SED,T1,Ambient,100
437,235_S158_L004_R1_001.fastq.gz,235,235,CUxSB,SEDT1A,SED,T1,Ambient,100
438,235_S158_L005_R1_001.fastq.gz,235,235,CUxSB,SEDT1A,SED,T1,Ambient,100
