Order,Fastq filename,Our sample name,sample,Cross,Treatment,Zoox,Tank,Treatment,58daysHeatSurv
61,44_S58_L003_R1_001.fastq.gz,44,44,DRxDR,C1T2A,C1,T2,Ambient,100
62,44_S58_L004_R1_001.fastq.gz,44,44,DRxDR,C1T2A,C1,T2,Ambient,100
63,44_S58_L005_R1_001.fastq.gz,44,44,DRxDR,C1T2A,C1,T2,Ambient,100
64,45_S59_L003_R1_001.fastq.gz,45,45,SBxSB,C1T2A,C1,T2,Ambient,100
65,45_S59_L004_R1_001.fastq.gz,45,45,SBxSB,C1T2A,C1,T2,Ambient,100
66,45_S59_L005_R1_001.fastq.gz,45,45,SBxSB,C1T2A,C1,T2,Ambient,100
67,46_S60_L003_R1_001.fastq.gz,46,46,BKxBK,C1T3A,C1,T3,Ambient,22.22
68,46_S60_L004_R1_001.fastq.gz,46,46,BKxBK,C1T3A,C1,T3,Ambient,22.22
69,46_S60_L005_R1_001.fastq.gz,46,46,BKxBK,C1T3A,C1,T3,Ambient,22.22
70,47_S61_L003_R1_001.fastq.gz,47,47,BKxBK,C1T2A,C1,T2,Ambient,91.66
71,47_S61_L004_R1_001.fastq.gz,47,47,BKxBK,C1T2A,C1,T2,Ambient,91.66
72,47_S61_L005_R1_001.fastq.gz,47,47,BKxBK,C1T2A,C1,T2,Ambient,91.66
73,48_S62_L003_R1_001.fastq.gz,48,48,SBxSB,C1T3A,C1,T3,Ambient,90.9
74,48_S62_L004_R1_001.fastq.gz,48,48,SBxSB,C1T3A,C1,T3,Ambient,90.9
75,48_S62_L005_R1_001.fastq.gz,48,48,SBxSB,C1T3A,C1,T3,Ambient,90.9
76,49_S63_L003_R1_001.fastq.gz,49,49,LSxLS,C1T3A,C1,T3,Ambient,93.75
77,49_S63_L004_R1_001.fastq.gz,49,49,LSxLS,C1T3A,C1,T3,Ambient,93.75
78,49_S63_L005_R1_001.fastq.gz,49,49,LSxLS,C1T3A,C1,T3,Ambient,93.75
79,50_S64_L003_R1_001.fastq.gz,50,50,DRxDR,C1T3A,C1,T3,Ambient,88.88
80,50_S64_L004_R1_001.fastq.gz,50,50,DRxDR,C1T3A,C1,T3,Ambient,88.88
81,50_S64_L005_R1_001.fastq.gz,50,50,DRxDR,C1T3A,C1,T3,Ambient,88.88
139,82_S76_L003_R1_001.fastq.gz,82,82,LSxLS,D1T1A,D1,T1,Ambient,100
140,82_S76_L004_R1_001.fastq.gz,82,82,LSxLS,D1T1A,D1,T1,Ambient,100
141,82_S76_L005_R1_001.fastq.gz,82,82,LSxLS,D1T1A,D1,T1,Ambient,100
91,61_S275_L006_R1_001.fastq.gz,61,61,LSxLS,D1T3H,D1,T3,Hot,80
92,61_S275_L007_R1_001.fastq.gz,61,61,LSxLS,D1T3H,D1,T3,Hot,80
93,61_S275_L008_R1_001.fastq.gz,61,61,LSxLS,D1T3H,D1,T3,Hot,80
283,158_S289_L006_R1_001.fastq.gz,158,158,CUxDR,D1T3H,D1,T3,Hot,100
284,158_S289_L007_R1_001.fastq.gz,158,158,CUxDR,D1T3H,D1,T3,Hot,100
285,158_S289_L008_R1_001.fastq.gz,158,158,CUxDR,D1T3H,D1,T3,Hot,100
175,104_S86_L003_R1_001.fastq.gz,104,104,LSxLS,D1T2A,D1,T2,Ambient,100
176,104_S86_L004_R1_001.fastq.gz,104,104,LSxLS,D1T2A,D1,T2,Ambient,100
177,104_S86_L005_R1_001.fastq.gz,104,104,LSxLS,D1T2A,D1,T2,Ambient,100
286,161_S290_L006_R1_001.fastq.gz,161,161,DRxSB,D1T3H,D1,T3,Hot,75
287,161_S290_L007_R1_001.fastq.gz,161,161,DRxSB,D1T3H,D1,T3,Hot,75
288,161_S290_L008_R1_001.fastq.gz,161,161,DRxSB,D1T3H,D1,T3,Hot,75
46,37_S162_L003_R1_001.fastq.gz,37,37,SBxSB,SEDT2H,SED,T2,Hot,100
47,37_S162_L004_R1_001.fastq.gz,37,37,SBxSB,SEDT2H,SED,T2,Hot,100
48,37_S162_L005_R1_001.fastq.gz,37,37,SBxSB,SEDT2H,SED,T2,Hot,100
94,64_S276_L006_R1_001.fastq.gz,64,64,LSxLS,SEDT1H,SED,T1,Hot,80
95,64_S276_L007_R1_001.fastq.gz,64,64,LSxLS,SEDT1H,SED,T1,Hot,80
96,64_S276_L008_R1_001.fastq.gz,64,64,LSxLS,SEDT1H,SED,T1,Hot,80
97,67_S277_L006_R1_001.fastq.gz,67,67,DRxDR,SEDT1H,SED,T1,Hot,91.66667
98,67_S277_L007_R1_001.fastq.gz,67,67,DRxDR,SEDT1H,SED,T1,Hot,91.66667
99,67_S277_L008_R1_001.fastq.gz,67,67,DRxDR,SEDT1H,SED,T1,Hot,91.66667
100,68_S278_L006_R1_001.fastq.gz,68,68,LSxLS,SEDT3H,SED,T3,Hot,100
101,68_S278_L007_R1_001.fastq.gz,68,68,LSxLS,SEDT3H,SED,T3,Hot,100
102,68_S278_L008_R1_001.fastq.gz,68,68,LSxLS,SEDT3H,SED,T3,Hot,100
109,72_S66_L003_R1_001.fastq.gz,72,72,DRxDR,SST1A,SS,T1,Ambient,90.476
110,72_S66_L004_R1_001.fastq.gz,72,72,DRxDR,SST1A,SS,T1,Ambient,90.476
111,72_S66_L005_R1_001.fastq.gz,72,72,DRxDR,SST1A,SS,T1,Ambient,90.476
112,73_S67_L003_R1_001.fastq.gz,73,73,LSxLS,SST1A,SS,T1,Ambient,83.33333
113,73_S67_L004_R1_001.fastq.gz,73,73,LSxLS,SST1A,SS,T1,Ambient,83.33333
114,73_S67_L005_R1_001.fastq.gz,73,73,LSxLS,SST1A,SS,T1,Ambient,83.33333
115,74_S68_L003_R1_001.fastq.gz,74,74,BKxBK,SST1A,SS,T1,Ambient,77.777
116,74_S68_L004_R1_001.fastq.gz,74,74,BKxBK,SST1A,SS,T1,Ambient,77.777
117,74_S68_L005_R1_001.fastq.gz,74,74,BKxBK,SST1A,SS,T1,Ambient,77.777
118,75_S69_L003_R1_001.fastq.gz,75,75,SBxSB,SST1A,SS,T1,Ambient,85.71429
119,75_S69_L004_R1_001.fastq.gz,75,75,SBxSB,SST1A,SS,T1,Ambient,85.71429
120,75_S69_L005_R1_001.fastq.gz,75,75,SBxSB,SST1A,SS,T1,Ambient,85.71429
121,76_S70_L003_R1_001.fastq.gz,76,76,DRxDR,SST2A,SS,T2,Ambient,NA
122,76_S70_L004_R1_001.fastq.gz,76,76,DRxDR,SST2A,SS,T2,Ambient,NA
123,76_S70_L005_R1_001.fastq.gz,76,76,DRxDR,SST2A,SS,T2,Ambient,NA
124,77_S71_L003_R1_001.fastq.gz,77,77,LSxLS,SST2A,SS,T2,Ambient,50
125,77_S71_L004_R1_001.fastq.gz,77,77,LSxLS,SST2A,SS,T2,Ambient,50
126,77_S71_L005_R1_001.fastq.gz,77,77,LSxLS,SST2A,SS,T2,Ambient,50
127,78_S72_L003_R1_001.fastq.gz,78,78,SBxSB,SST2A,SS,T2,Ambient,100
128,78_S72_L004_R1_001.fastq.gz,78,78,SBxSB,SST2A,SS,T2,Ambient,100
129,78_S72_L005_R1_001.fastq.gz,78,78,SBxSB,SST2A,SS,T2,Ambient,100
130,79_S73_L003_R1_001.fastq.gz,79,79,BKxBK,SST2A,SS,T2,Ambient,0
131,79_S73_L004_R1_001.fastq.gz,79,79,BKxBK,SST2A,SS,T2,Ambient,0
132,79_S73_L005_R1_001.fastq.gz,79,79,BKxBK,SST2A,SS,T2,Ambient,0
133,80_S74_L003_R1_001.fastq.gz,80,80,SBxSB,D1T1A,D1,T1,Ambient,92.885
134,80_S74_L004_R1_001.fastq.gz,80,80,SBxSB,D1T1A,D1,T1,Ambient,92.885
135,80_S74_L005_R1_001.fastq.gz,80,80,SBxSB,D1T1A,D1,T1,Ambient,92.885
136,81_S75_L003_R1_001.fastq.gz,81,81,BKxBK,D1T1A,D1,T1,Ambient,61.5
137,81_S75_L004_R1_001.fastq.gz,81,81,BKxBK,D1T1A,D1,T1,Ambient,61.5
138,81_S75_L005_R1_001.fastq.gz,81,81,BKxBK,D1T1A,D1,T1,Ambient,61.5
103,69_S279_L006_R1_001.fastq.gz,69,69,DRxDR,SEDT3H,SED,T3,Hot,87.5
104,69_S279_L007_R1_001.fastq.gz,69,69,DRxDR,SEDT3H,SED,T3,Hot,87.5
105,69_S279_L008_R1_001.fastq.gz,69,69,DRxDR,SEDT3H,SED,T3,Hot,87.5
142,83_S77_L003_R1_001.fastq.gz,83,83,DRxDR,D1T1A,D1,T1,Ambient,100
143,83_S77_L004_R1_001.fastq.gz,83,83,DRxDR,D1T1A,D1,T1,Ambient,100
144,83_S77_L005_R1_001.fastq.gz,83,83,DRxDR,D1T1A,D1,T1,Ambient,100
145,84_S78_L003_R1_001.fastq.gz,84,84,DRxDR,D1T3A,D1,T3,Ambient,100
146,84_S78_L004_R1_001.fastq.gz,84,84,DRxDR,D1T3A,D1,T3,Ambient,100
147,84_S78_L005_R1_001.fastq.gz,84,84,DRxDR,D1T3A,D1,T3,Ambient,100
148,85_S79_L003_R1_001.fastq.gz,85,85,SBxSB,D1T3A,D1,T3,Ambient,100
149,85_S79_L004_R1_001.fastq.gz,85,85,SBxSB,D1T3A,D1,T3,Ambient,100
150,85_S79_L005_R1_001.fastq.gz,85,85,SBxSB,D1T3A,D1,T3,Ambient,100
151,86_S80_L003_R1_001.fastq.gz,86,86,BKxBK,D1T3A,D1,T3,Ambient,29.16
152,86_S80_L004_R1_001.fastq.gz,86,86,BKxBK,D1T3A,D1,T3,Ambient,29.16
153,86_S80_L005_R1_001.fastq.gz,86,86,BKxBK,D1T3A,D1,T3,Ambient,29.16
106,70_S280_L006_R1_001.fastq.gz,70,70,SBxSB,SEDT3H,SED,T3,Hot,96.875
107,70_S280_L007_R1_001.fastq.gz,70,70,SBxSB,SEDT3H,SED,T3,Hot,96.875
